conference_id,name,alias
44aadfd0-d35b-4a15-b4fc-4330d4ce6071,Old Dominion Athletic Conference,ODAC
1bc171c1-fa1e-11ef-a78f-778dbdf44fb0,New South Athletic Conference,NSAC
5cef910f-3897-4386-913e-ca840553dd24,Upper Midwest Athletic Conference,UMAC
293891fe-afce-43cf-85be-3bef7a0f9491,Midwest Conference,MWC
5b0d932e-2cf4-4a19-a2fd-e6e3d6ee8e7a,American Midwest Conference,AMC
cf057f51-1f23-4afc-a6d7-679e9cf55018,Midwest Collegiate Conference,MCC
b43d0cd2-5c9e-45ba-af85-35a2dcedafa8,Presidents Athletic Conference,PAC
916db4a1-2ed8-4373-b867-bbd8236f68e3,Gulf Coast Athletic Conference,GCAC
fb267c5d-cfce-41ca-b67f-8ba05d687961,American Southwest Conference,ASC
bdce7519-79e3-4b7a-9148-a497bca7b8db,Division III Independents,D3-INDEPENDENTS
5252072c-ad6c-4acc-80e7-6c24c87c7043,Massachusetts State Collegiate Athletic Conference,MASCAC
